,sensor_x,target,datetime,sensor_y,value_one,sensor,value_two,month
0,TC,5.92,2019-01-01 00:00:00,TC,16.5,TC,10.067472,1
1,TC,5.55,2019-01-01 01:00:00,TC,17.3,TC,11.373131999999998,1
2,TC,12.93,2019-01-01 02:00:00,TC,18.0,TC,12.895476,1
3,TC,19.03,2019-01-01 03:00:00,TC,18.8,TC,15.045647999999998,1
4,TC,24.0,2019-01-01 04:00:00,TC,20.5,TC,18.051444,1
5,TC,24.87,2019-01-01 05:00:00,TC,22.3,TC,21.107244,1
6,TC,25.47,2019-01-01 06:00:00,TC,24.0,TC,23.324088000000003,1
7,TC,26.28,2019-01-01 07:00:00,TC,25.2,TC,24.729756,1
8,TC,26.6,2019-01-01 08:00:00,TC,26.5,TC,24.968664,1
9,TC,26.39,2019-01-01 09:00:00,TC,27.7,TC,24.368616,1
10,TC,26.87,2019-01-01 10:00:00,TC,26.5,TC,23.3352,1
11,TC,23.77,2019-01-01 11:00:00,TC,25.4,TC,22.157328,1
12,TC,16.73,2019-01-01 12:00:00,TC,24.2,TC,20.66832,1
13,TC,14.76,2019-01-01 13:00:00,TC,23.4,TC,18.501479999999997,1
14,TC,12.68,2019-01-01 14:00:00,TC,22.6,TC,16.451316000000002,1
15,TC,11.64,2019-01-01 15:00:00,TC,21.8,TC,14.967864000000002,1
16,TC,10.35,2019-01-01 16:00:00,TC,21.6,TC,14.08446,1
17,TC,9.82,2019-01-01 17:00:00,TC,21.5,TC,13.545528,1
18,TC,9.1,2019-01-01 18:00:00,TC,21.3,TC,12.867695999999995,1
19,TC,8.59,2019-01-01 19:00:00,TC,20.6,TC,12.062076,1
20,TC,8.1,2019-01-01 20:00:00,TC,20.1,TC,11.145336,1
21,TC,7.53,2019-01-01 21:00:00,TC,19.5,TC,10.1397,1
22,TC,6.8,2019-01-01 22:00:00,TC,18.8,TC,9.261852000000001,1
23,TC,6.3,2019-01-01 23:00:00,TC,18.2,TC,9.828563999999998,1
24,TC,5.84,2019-01-02 00:00:00,TC,17.5,TC,11.339795999999998,1
25,TC,6.07,2019-01-02 01:00:00,TC,18.2,TC,12.512112000000002,1
26,TC,12.07,2019-01-02 02:00:00,TC,19.0,TC,14.040012,1
27,TC,17.98,2019-01-02 03:00:00,TC,19.7,TC,16.234631999999998,1
28,TC,23.12,2019-01-02 04:00:00,TC,21.6,TC,19.273764,1
29,TC,26.04,2019-01-02 05:00:00,TC,23.5,TC,22.274004,1
30,TC,26.53,2019-01-02 06:00:00,TC,25.4,TC,24.457512,1
31,TC,27.45,2019-01-02 07:00:00,TC,26.7,TC,26.00208,1
32,TC,28.52,2019-01-02 08:00:00,TC,28.0,TC,26.352108,1
33,TC,28.06,2019-01-02 09:00:00,TC,29.3,TC,25.785396,1
34,TC,27.84,2019-01-02 10:00:00,TC,28.5,TC,24.757536,1
35,TC,24.29,2019-01-02 11:00:00,TC,27.7,TC,23.568552,1
36,TC,18.44,2019-01-02 12:00:00,TC,26.9,TC,22.19622,1
37,TC,15.81,2019-01-02 13:00:00,TC,25.9,TC,20.268288000000002,1
38,TC,13.56,2019-01-02 14:00:00,TC,24.9,TC,18.395916,1
39,TC,12.89,2019-01-02 15:00:00,TC,23.9,TC,16.962467999999998,1
40,TC,11.89,2019-01-02 16:00:00,TC,23.4,TC,15.984612000000002,1
41,TC,11.09,2019-01-02 17:00:00,TC,22.8,TC,15.340116,1
42,TC,10.55,2019-01-02 18:00:00,TC,22.3,TC,14.734512,1
43,TC,9.85,2019-01-02 19:00:00,TC,21.8,TC,14.001120000000002,1
44,TC,9.68,2019-01-02 20:00:00,TC,21.4,TC,13.228836,1
45,TC,8.72,2019-01-02 21:00:00,TC,20.9,TC,12.428772,1
46,TC,8.15,2019-01-02 22:00:00,TC,20.3,TC,11.6676,1
47,TC,7.51,2019-01-02 23:00:00,TC,19.6,TC,11.934288,1
48,TC,7.3,2019-01-03 00:00:00,TC,19.0,TC,13.089936000000002,1
49,TC,7.55,2019-01-03 01:00:00,TC,19.6,TC,14.117795999999998,1
50,TC,13.47,2019-01-03 02:00:00,TC,20.2,TC,15.423455999999998,1
51,TC,19.68,2019-01-03 03:00:00,TC,20.8,TC,17.595852,1
52,TC,22.81,2019-01-03 04:00:00,TC,22.5,TC,20.573868,1
53,TC,25.7,2019-01-03 05:00:00,TC,24.2,TC,23.101848,1
54,TC,27.0,2019-01-03 06:00:00,TC,25.9,TC,24.840875999999994,1
55,TC,27.69,2019-01-03 07:00:00,TC,26.9,TC,26.235432,1
56,TC,28.17,2019-01-03 08:00:00,TC,27.8,TC,26.463228000000004,1
57,TC,28.0,2019-01-03 09:00:00,TC,28.8,TC,26.435447999999997,1
58,TC,27.36,2019-01-03 10:00:00,TC,28.3,TC,25.86318,1
59,TC,24.1,2019-01-03 11:00:00,TC,27.8,TC,24.11304,1
60,TC,18.84,2019-01-03 12:00:00,TC,27.3,TC,22.346232,1
61,TC,16.07,2019-01-03 13:00:00,TC,26.6,TC,20.546088,1
62,TC,14.38,2019-01-03 14:00:00,TC,25.8,TC,18.80706,1
63,TC,13.42,2019-01-03 15:00:00,TC,25.1,TC,17.351387999999996,1
64,TC,12.21,2019-01-03 16:00:00,TC,23.6,TC,16.22352,1
65,TC,11.68,2019-01-03 17:00:00,TC,22.2,TC,15.340116,1
66,TC,10.88,2019-01-03 18:00:00,TC,20.7,TC,14.406707999999998,1
67,TC,10.78,2019-01-03 19:00:00,TC,20.8,TC,13.484412,1
68,TC,9.43,2019-01-03 20:00:00,TC,20.3,TC,12.601008,1
69,TC,9.31,2019-01-03 21:00:00,TC,19.8,TC,11.673156,1
70,TC,8.81,2019-01-03 22:00:00,TC,19.2,TC,10.845312000000002,1
71,TC,8.18,2019-01-03 23:00:00,TC,18.5,TC,11.184228,1
72,TC,7.98,2019-01-04 00:00:00,TC,17.9,TC,12.334320000000002,1
73,TC,7.9,2019-01-04 01:00:00,TC,18.5,TC,13.301063999999998,1
74,TC,12.51,2019-01-04 02:00:00,TC,19.1,TC,14.64006,1
75,TC,19.63,2019-01-04 03:00:00,TC,19.7,TC,16.734672,1
76,TC,22.4,2019-01-04 04:00:00,TC,21.4,TC,19.551564000000006,1
77,TC,25.04,2019-01-04 05:00:00,TC,23.0,TC,22.301784,1
78,TC,27.03,2019-01-04 06:00:00,TC,24.7,TC,24.36306,1
79,TC,26.87,2019-01-04 07:00:00,TC,25.9,TC,25.763172,1
80,TC,27.47,2019-01-04 08:00:00,TC,27.1,TC,26.024304,1
81,TC,27.28,2019-01-04 09:00:00,TC,28.3,TC,25.413144,1
82,TC,26.82,2019-01-04 10:00:00,TC,27.6,TC,24.47418,1
83,TC,24.21,2019-01-04 11:00:00,TC,26.8,TC,23.496324,1
84,TC,17.64,2019-01-04 12:00:00,TC,26.1,TC,22.268448,1
85,TC,14.89,2019-01-04 13:00:00,TC,25.1,TC,20.468304,1
86,TC,13.6,2019-01-04 14:00:00,TC,24.0,TC,18.707052,1
87,TC,12.47,2019-01-04 15:00:00,TC,23.0,TC,17.27916,1
88,TC,11.43,2019-01-04 16:00:00,TC,22.3,TC,16.229076,1
89,TC,11.11,2019-01-04 17:00:00,TC,21.7,TC,15.440123999999999,1
90,TC,10.61,2019-01-04 18:00:00,TC,21.0,TC,14.667839999999998,1
91,TC,9.88,2019-01-04 19:00:00,TC,20.0,TC,13.917779999999999,1
92,TC,9.5,2019-01-04 20:00:00,TC,19.1,TC,13.234392,1
93,TC,8.75,2019-01-04 21:00:00,TC,18.3,TC,12.478776,1
94,TC,8.63,2019-01-04 22:00:00,TC,17.5,TC,11.495364,1
95,TC,8.38,2019-01-04 23:00:00,TC,16.7,TC,11.778720000000002,1
96,TC,7.88,2019-01-05 00:00:00,TC,15.9,TC,12.945479999999998,1
97,TC,7.78,2019-01-05 01:00:00,TC,16.6,TC,13.778879999999996,1
98,TC,13.01,2019-01-05 02:00:00,TC,17.3,TC,14.923416,1
99,TC,19.87,2019-01-05 03:00:00,TC,18.0,TC,16.934687999999998,1
100,TC,23.29,2019-01-05 04:00:00,TC,19.8,TC,19.784916,1
101,TC,25.43,2019-01-05 05:00:00,TC,21.7,TC,22.240668,1
102,TC,27.26,2019-01-05 06:00:00,TC,23.5,TC,24.035256,1
103,TC,27.38,2019-01-05 07:00:00,TC,24.5,TC,25.618716,1
104,TC,27.92,2019-01-05 08:00:00,TC,25.6,TC,26.068752,1
105,TC,27.76,2019-01-05 09:00:00,TC,26.6,TC,25.5576,1
106,TC,27.94,2019-01-05 10:00:00,TC,25.6,TC,24.668640000000003,1
107,TC,25.21,2019-01-05 11:00:00,TC,24.7,TC,23.451875999999995,1
108,TC,18.54,2019-01-05 12:00:00,TC,23.7,TC,21.912864000000006,1
109,TC,16.37,2019-01-05 13:00:00,TC,23.0,TC,20.096052,1
110,TC,14.75,2019-01-05 14:00:00,TC,22.4,TC,18.41814,1
111,TC,14.1,2019-01-05 15:00:00,TC,21.7,TC,17.073587999999994,1
112,TC,12.23,2019-01-05 16:00:00,TC,21.6,TC,16.062395999999996,1
113,TC,11.51,2019-01-05 17:00:00,TC,21.6,TC,15.267887999999996,1
114,TC,11.02,2019-01-05 18:00:00,TC,21.5,TC,14.428932,1
115,TC,10.39,2019-01-05 19:00:00,TC,19.9,TC,13.723320000000001,1
116,TC,9.42,2019-01-05 20:00:00,TC,20.3,TC,12.956592,1
117,TC,9.71,2019-01-05 21:00:00,TC,20.8,TC,12.117636,1
118,TC,8.22,2019-01-05 22:00:00,TC,20.0,TC,11.339795999999998,1
119,TC,8.27,2019-01-05 23:00:00,TC,19.3,TC,11.495364,1
120,TC,8.23,2019-01-06 00:00:00,TC,18.5,TC,12.373212,1
121,TC,7.98,2019-01-06 01:00:00,TC,19.2,TC,13.3344,1
122,TC,14.52,2019-01-06 02:00:00,TC,19.8,TC,14.817851999999998,1
123,TC,21.19,2019-01-06 03:00:00,TC,20.5,TC,16.906907999999998,1
124,TC,24.2,2019-01-06 04:00:00,TC,22.5,TC,19.801584,1
125,TC,26.71,2019-01-06 05:00:00,TC,24.5,TC,22.896276,1
126,TC,27.97,2019-01-06 06:00:00,TC,26.5,TC,25.213128,1
127,TC,28.62,2019-01-06 07:00:00,TC,27.9,TC,26.724359999999997,1
128,TC,28.72,2019-01-06 08:00:00,TC,29.4,TC,27.079944,1
129,TC,28.42,2019-01-06 09:00:00,TC,30.8,TC,26.568791999999995,1
130,TC,28.03,2019-01-06 10:00:00,TC,29.7,TC,25.640940000000004,1
131,TC,25.48,2019-01-06 11:00:00,TC,28.5,TC,24.535296,1
132,TC,18.95,2019-01-06 12:00:00,TC,27.4,TC,23.185188,1
133,TC,16.88,2019-01-06 13:00:00,TC,26.3,TC,21.257256,1
134,TC,15.53,2019-01-06 14:00:00,TC,25.3,TC,19.295988,1
135,TC,13.85,2019-01-06 15:00:00,TC,24.2,TC,17.795868,1
136,TC,13.27,2019-01-06 16:00:00,TC,23.5,TC,16.801344,1
137,TC,11.89,2019-01-06 17:00:00,TC,22.7,TC,16.1124,1
138,TC,11.47,2019-01-06 18:00:00,TC,22.0,TC,14.951195999999998,1
139,TC,11.72,2019-01-06 19:00:00,TC,21.6,TC,14.22336,1
140,TC,10.64,2019-01-06 20:00:00,TC,21.6,TC,13.434408,1
141,TC,10.22,2019-01-06 21:00:00,TC,21.5,TC,12.578784,1
142,TC,9.94,2019-01-06 22:00:00,TC,20.2,TC,11.834279999999998,1
143,TC,9.1,2019-01-06 23:00:00,TC,19.0,TC,12.100968,1
144,TC,9.01,2019-01-07 00:00:00,TC,17.7,TC,12.995484,1
145,TC,9.31,2019-01-07 01:00:00,TC,18.4,TC,13.934447999999998,1
146,TC,13.26,2019-01-07 02:00:00,TC,19.1,TC,15.484571999999998,1
147,TC,19.95,2019-01-07 03:00:00,TC,19.8,TC,17.668079999999996,1
148,TC,23.32,2019-01-07 04:00:00,TC,21.3,TC,20.451636,1
149,TC,25.88,2019-01-07 05:00:00,TC,22.9,TC,22.874052,1
150,TC,26.62,2019-01-07 06:00:00,TC,24.4,TC,24.5853,1
151,TC,27.31,2019-01-07 07:00:00,TC,25.4,TC,25.902072,1
152,TC,28.03,2019-01-07 08:00:00,TC,26.3,TC,26.129868,1
153,TC,27.29,2019-01-07 09:00:00,TC,27.3,TC,25.663164,1
154,TC,26.7,2019-01-07 10:00:00,TC,26.7,TC,25.040892000000003,1
155,TC,24.5,2019-01-07 11:00:00,TC,26.0,TC,24.124152,1
156,TC,20.2,2019-01-07 12:00:00,TC,25.4,TC,22.896276,1
157,TC,17.82,2019-01-07 13:00:00,TC,24.6,TC,21.262812,1
158,TC,17.44,2019-01-07 14:00:00,TC,23.9,TC,19.629348,1
159,TC,18.82,2019-01-07 15:00:00,TC,23.1,TC,18.412584,1
160,TC,17.48,2019-01-07 16:00:00,TC,21.6,TC,17.601408,1
161,TC,17.4,2019-01-07 17:00:00,TC,20.0,TC,17.006916,1
162,TC,14.72,2019-01-07 18:00:00,TC,18.5,TC,15.979055999999998,1
163,TC,14.78,2019-01-07 19:00:00,TC,17.4,TC,14.928971999999998,1
