,sensor_x,target,datetime,sensor_y,value_one,sensor,value_two,month
0,HUM,100.0,2019-01-01 00:00:00,HUM,44.0,HUM,59.0,1
1,HUM,100.0,2019-01-01 01:00:00,HUM,43.0,HUM,56.99999999999999,1
2,HUM,100.0,2019-01-01 02:00:00,HUM,42.0,HUM,55.00000000000001,1
3,HUM,89.86,2019-01-01 03:00:00,HUM,42.0,HUM,50.0,1
4,HUM,36.46,2019-01-01 04:00:00,HUM,37.0,HUM,43.0,1
5,HUM,26.64,2019-01-01 05:00:00,HUM,33.0,HUM,37.0,1
6,HUM,21.13,2019-01-01 06:00:00,HUM,29.0,HUM,32.0,1
7,HUM,21.43,2019-01-01 07:00:00,HUM,26.0,HUM,28.000000000000004,1
8,HUM,18.01,2019-01-01 08:00:00,HUM,24.0,HUM,27.0,1
9,HUM,17.12,2019-01-01 09:00:00,HUM,22.0,HUM,28.000000000000004,1
10,HUM,16.44,2019-01-01 10:00:00,HUM,25.0,HUM,31.0,1
11,HUM,24.88,2019-01-01 11:00:00,HUM,27.0,HUM,34.0,1
12,HUM,52.14,2019-01-01 12:00:00,HUM,30.0,HUM,36.0,1
13,HUM,73.87,2019-01-01 13:00:00,HUM,30.0,HUM,39.0,1
14,HUM,92.21,2019-01-01 14:00:00,HUM,29.0,HUM,42.0,1
15,HUM,100.0,2019-01-01 15:00:00,HUM,29.0,HUM,45.0,1
16,HUM,100.0,2019-01-01 16:00:00,HUM,30.0,HUM,48.0,1
17,HUM,100.0,2019-01-01 17:00:00,HUM,32.0,HUM,50.0,1
18,HUM,100.0,2019-01-01 18:00:00,HUM,33.0,HUM,52.0,1
19,HUM,100.0,2019-01-01 19:00:00,HUM,34.0,HUM,55.00000000000001,1
20,HUM,100.0,2019-01-01 20:00:00,HUM,36.0,HUM,57.99999999999999,1
21,HUM,100.0,2019-01-01 21:00:00,HUM,38.0,HUM,61.0,1
22,HUM,100.0,2019-01-01 22:00:00,HUM,39.0,HUM,64.0,1
23,HUM,100.0,2019-01-01 23:00:00,HUM,41.0,HUM,63.0,1
24,HUM,100.0,2019-01-02 00:00:00,HUM,42.0,HUM,61.0,1
25,HUM,100.0,2019-01-02 01:00:00,HUM,41.0,HUM,61.0,1
26,HUM,100.0,2019-01-02 02:00:00,HUM,41.0,HUM,59.0,1
27,HUM,81.46,2019-01-02 03:00:00,HUM,40.0,HUM,54.0,1
28,HUM,35.32,2019-01-02 04:00:00,HUM,36.0,HUM,46.0,1
29,HUM,29.33,2019-01-02 05:00:00,HUM,32.0,HUM,39.0,1
30,HUM,22.87,2019-01-02 06:00:00,HUM,29.0,HUM,33.0,1
31,HUM,18.84,2019-01-02 07:00:00,HUM,27.0,HUM,30.0,1
32,HUM,16.82,2019-01-02 08:00:00,HUM,25.0,HUM,29.0,1
33,HUM,15.66,2019-01-02 09:00:00,HUM,24.0,HUM,30.0,1
34,HUM,16.6,2019-01-02 10:00:00,HUM,26.0,HUM,33.0,1
35,HUM,30.25,2019-01-02 11:00:00,HUM,29.0,HUM,36.0,1
36,HUM,54.88,2019-01-02 12:00:00,HUM,32.0,HUM,37.0,1
37,HUM,79.39,2019-01-02 13:00:00,HUM,32.0,HUM,40.0,1
38,HUM,100.0,2019-01-02 14:00:00,HUM,32.0,HUM,43.0,1
39,HUM,100.0,2019-01-02 15:00:00,HUM,31.0,HUM,46.0,1
40,HUM,100.0,2019-01-02 16:00:00,HUM,33.0,HUM,49.0,1
41,HUM,100.0,2019-01-02 17:00:00,HUM,35.0,HUM,52.0,1
42,HUM,100.0,2019-01-02 18:00:00,HUM,37.0,HUM,54.0,1
43,HUM,100.0,2019-01-02 19:00:00,HUM,40.0,HUM,56.00000000000001,1
44,HUM,100.0,2019-01-02 20:00:00,HUM,41.0,HUM,59.0,1
45,HUM,100.0,2019-01-02 21:00:00,HUM,43.0,HUM,62.0,1
46,HUM,100.0,2019-01-02 22:00:00,HUM,45.0,HUM,64.0,1
47,HUM,100.0,2019-01-02 23:00:00,HUM,46.0,HUM,63.0,1
48,HUM,100.0,2019-01-03 00:00:00,HUM,48.0,HUM,62.0,1
49,HUM,100.0,2019-01-03 01:00:00,HUM,47.0,HUM,62.0,1
50,HUM,100.0,2019-01-03 02:00:00,HUM,47.0,HUM,61.0,1
51,HUM,81.12,2019-01-03 03:00:00,HUM,46.0,HUM,56.00000000000001,1
52,HUM,48.07,2019-01-03 04:00:00,HUM,42.0,HUM,48.0,1
53,HUM,38.62,2019-01-03 05:00:00,HUM,39.0,HUM,42.0,1
54,HUM,29.58,2019-01-03 06:00:00,HUM,35.0,HUM,37.0,1
55,HUM,23.99,2019-01-03 07:00:00,HUM,32.0,HUM,34.0,1
56,HUM,19.9,2019-01-03 08:00:00,HUM,30.0,HUM,32.0,1
