,sensor_x,target,datetime,sensor_y,value_one,sensor,value_two,month
0,PRES,98650.55,2019-01-01 00:00:00,PRES,1020.0,PRES,1020.71,1
1,PRES,98736.18,2019-01-01 01:00:00,PRES,1021.0,PRES,1021.19,1
2,PRES,98822.78,2019-01-01 02:00:00,PRES,1021.0,PRES,1021.66,1
3,PRES,98879.44,2019-01-01 03:00:00,PRES,1022.0,PRES,1021.69,1
4,PRES,98869.11,2019-01-01 04:00:00,PRES,1021.0,PRES,1021.29,1
5,PRES,98799.74,2019-01-01 05:00:00,PRES,1021.0,PRES,1020.77,1
6,PRES,98659.18,2019-01-01 06:00:00,PRES,1021.0,PRES,1020.05,1
7,PRES,98517.74,2019-01-01 07:00:00,PRES,1019.0,PRES,1018.99,1
8,PRES,98416.02,2019-01-01 08:00:00,PRES,1018.0,PRES,1018.03,1
9,PRES,98371.15,2019-01-01 09:00:00,PRES,1017.0,PRES,1017.55,1
10,PRES,98368.92,2019-01-01 10:00:00,PRES,1017.0,PRES,1017.54,1
11,PRES,98425.2,2019-01-01 11:00:00,PRES,1017.0,PRES,1017.71,1
12,PRES,98485.38,2019-01-01 12:00:00,PRES,1017.0,PRES,1018.03,1
13,PRES,98542.39,2019-01-01 13:00:00,PRES,1018.0,PRES,1018.6,1
14,PRES,98576.0,2019-01-01 14:00:00,PRES,1019.0,PRES,1019.15,1
15,PRES,98581.56,2019-01-01 15:00:00,PRES,1020.0,PRES,1019.47,1
16,PRES,98574.89,2019-01-01 16:00:00,PRES,1020.0,PRES,1019.54,1
17,PRES,98572.64,2019-01-01 17:00:00,PRES,1020.0,PRES,1019.48,1
18,PRES,98561.2,2019-01-01 18:00:00,PRES,1020.0,PRES,1019.36,1
19,PRES,98564.62,2019-01-01 19:00:00,PRES,1020.0,PRES,1019.27,1
20,PRES,98500.89,2019-01-01 20:00:00,PRES,1019.0,PRES,1019.02,1
21,PRES,98449.62,2019-01-01 21:00:00,PRES,1019.0,PRES,1018.92,1
22,PRES,98438.76,2019-01-01 22:00:00,PRES,1019.0,PRES,1018.97,1
23,PRES,98423.74,2019-01-01 23:00:00,PRES,1019.0,PRES,1019.12,1
24,PRES,98503.38,2019-01-02 00:00:00,PRES,1019.0,PRES,1019.29,1
25,PRES,98613.9,2019-01-02 01:00:00,PRES,1020.0,PRES,1019.68,1
26,PRES,98707.81,2019-01-02 02:00:00,PRES,1020.0,PRES,1020.19,1
27,PRES,98775.89,2019-01-02 03:00:00,PRES,1021.0,PRES,1020.36,1
28,PRES,98790.89,2019-01-02 04:00:00,PRES,1021.0,PRES,1020.17,1
29,PRES,98704.0,2019-01-02 05:00:00,PRES,1020.0,PRES,1019.98,1
30,PRES,98587.51,2019-01-02 06:00:00,PRES,1020.0,PRES,1019.51,1
31,PRES,98454.06,2019-01-02 07:00:00,PRES,1019.0,PRES,1018.52,1
32,PRES,98391.2,2019-01-02 08:00:00,PRES,1018.0,PRES,1017.57,1
33,PRES,98313.78,2019-01-02 09:00:00,PRES,1017.0,PRES,1017.12,1
34,PRES,98353.52,2019-01-02 10:00:00,PRES,1017.0,PRES,1017.15,1
35,PRES,98385.58,2019-01-02 11:00:00,PRES,1017.0,PRES,1017.33,1
36,PRES,98439.14,2019-01-02 12:00:00,PRES,1018.0,PRES,1017.68,1
37,PRES,98497.1,2019-01-02 13:00:00,PRES,1018.0,PRES,1018.31,1
38,PRES,98542.52,2019-01-02 14:00:00,PRES,1019.0,PRES,1018.93,1
39,PRES,98560.24,2019-01-02 15:00:00,PRES,1019.0,PRES,1019.26,1
40,PRES,98522.64,2019-01-02 16:00:00,PRES,1019.0,PRES,1019.29,1
41,PRES,98505.65,2019-01-02 17:00:00,PRES,1019.0,PRES,1019.19,1
42,PRES,98508.1,2019-01-02 18:00:00,PRES,1019.0,PRES,1019.29,1
43,PRES,98528.58,2019-01-02 19:00:00,PRES,1019.0,PRES,1019.17,1
44,PRES,98512.62,2019-01-02 20:00:00,PRES,1019.0,PRES,1019.07,1
45,PRES,98472.81,2019-01-02 21:00:00,PRES,1018.0,PRES,1019.1,1
46,PRES,98475.72,2019-01-02 22:00:00,PRES,1019.0,PRES,1019.26,1
47,PRES,98484.76,2019-01-02 23:00:00,PRES,1019.0,PRES,1019.47,1
48,PRES,98547.94,2019-01-03 00:00:00,PRES,1019.0,PRES,1019.77,1
49,PRES,98685.02,2019-01-03 01:00:00,PRES,1020.0,PRES,1020.43,1
50,PRES,98778.85,2019-01-03 02:00:00,PRES,1021.0,PRES,1021.2,1
51,PRES,98913.62,2019-01-03 03:00:00,PRES,1021.0,PRES,1021.53,1
52,PRES,98887.86,2019-01-03 04:00:00,PRES,1021.0,PRES,1021.41,1
53,PRES,98814.92,2019-01-03 05:00:00,PRES,1021.0,PRES,1021.26,1
54,PRES,98712.72,2019-01-03 06:00:00,PRES,1021.0,PRES,1020.82,1
55,PRES,98594.69,2019-01-03 07:00:00,PRES,1020.0,PRES,1019.81,1
56,PRES,98500.02,2019-01-03 08:00:00,PRES,1019.0,PRES,1018.82,1
57,PRES,98449.35,2019-01-03 09:00:00,PRES,1018.0,PRES,1018.02,1
58,PRES,98426.19,2019-01-03 10:00:00,PRES,1018.0,PRES,1017.87,1
59,PRES,98445.62,2019-01-03 11:00:00,PRES,1018.0,PRES,1018.14,1
60,PRES,98474.78,2019-01-03 12:00:00,PRES,1018.0,PRES,1018.41,1
61,PRES,98519.56,2019-01-03 13:00:00,PRES,1019.0,PRES,1018.96,1
62,PRES,98578.75,2019-01-03 14:00:00,PRES,1019.0,PRES,1019.52,1
63,PRES,98578.49,2019-01-03 15:00:00,PRES,1020.0,PRES,1019.79,1
64,PRES,98571.06,2019-01-03 16:00:00,PRES,1020.0,PRES,1019.78,1
65,PRES,98566.76,2019-01-03 17:00:00,PRES,1020.0,PRES,1019.64,1
66,PRES,98536.62,2019-01-03 18:00:00,PRES,1019.0,PRES,1019.56,1
67,PRES,98551.86,2019-01-03 19:00:00,PRES,1019.0,PRES,1019.56,1
68,PRES,98544.31,2019-01-03 20:00:00,PRES,1019.0,PRES,1019.43,1
69,PRES,98515.14,2019-01-03 21:00:00,PRES,1019.0,PRES,1019.43,1
70,PRES,98501.42,2019-01-03 22:00:00,PRES,1019.0,PRES,1019.54,1
71,PRES,98511.62,2019-01-03 23:00:00,PRES,1019.0,PRES,1019.77,1
72,PRES,98521.4,2019-01-04 00:00:00,PRES,1020.0,PRES,1020.08,1
73,PRES,98592.86,2019-01-04 01:00:00,PRES,1020.0,PRES,1020.53,1
74,PRES,98724.08,2019-01-04 02:00:00,PRES,1021.0,PRES,1021.01,1
75,PRES,98832.86,2019-01-04 03:00:00,PRES,1022.0,PRES,1021.15,1
76,PRES,98826.0,2019-01-04 04:00:00,PRES,1022.0,PRES,1020.96,1
77,PRES,98752.42,2019-01-04 05:00:00,PRES,1021.0,PRES,1020.72,1
78,PRES,98632.51,2019-01-04 06:00:00,PRES,1021.0,PRES,1020.22,1
